거래ID,거래일자,사원번호,사원명,지역,팀,상품명,금액,상태
TXN-2025067-5291,2025-03-08,EMP1011,장영철,경기,경기1팀,AI 비서 구독,16907,구매확정
TXN-2025019-7049,2025-01-19,EMP1038,정서연,광주,광주1팀,iot 패키지,12741,반려
TXN-2025108-5088,2025-04-18,EMP1007,조유진,서울,서울3팀,IPTV 프리미엄,28316,접수
TXN-2026045-3900,2026-02-14,EMP1027,박미래,부산,부산2팀,5g 요금제,81982,반려
TXN-2025056-7267,2025-02-25,EMP1003,정수진,서울,서울1팀,클라우드 서버,1912506,구매확정
TXN-2025338-4164,2025-12-04,EMP1026,조준혁,부산,부산2팀,IPTV 프리미엄,17274,구매확정
TXN-2025275-6425,2025-10-02,EMP1002,윤서연,서울,서울1팀,5G 요금제,72118,환불
TXN-2026009-6139,2026-01-09,EMP1028,윤미래,부산,부산2팀,IoT 패키지,,개통완료
TXN-2026048-9821,2026-02-17,EMP1013,최성호,경기,경기1팀,IPTV 프리미엄,25819,검토완료
TXN-2025342-7691,2025-12-08,EMP1021,임성호,부산,부산1팀,클라우드 서버,1362687,구매확정
TXN-2025316-5930,2025-11-12,EMP1026,조준혁,부산,부산2팀,IoT 패키지,29914,구매확정
TXN-2025227-4501,2025-08-15,EMP1033,서준혁,대전,대전1팀,클라우드 서버,1869384,검토완료
TXN-2025048-4848,2025-02-17,EMP1020,이서연,부산,부산1팀,인터넷 결합,"""37,828""",구매확정
TXN-2025213-4185,2025-08-01,EMP1025,오나연,부산,부산2팀,클라우드 서버,509479,구매확정
TXN-2025218-4585,2025-08-06,EMP1012,조태영,경기,경기1팀,AI 비서 구독,10722,환불
TXN-2025272-6198,2025-09-29,EMP1029,서준혁,대전,대전1팀,IoT 패키지,43081,반려
TXN-2025231-5246,2025-08-19,EMP1016,이상현,경기,경기2팀,AI 비서 구독,18440,구매확정
TXN-2025172-6238,2025-06-21,EMP1035,조지민,광주,광주1팀,5G 요금 제,80102,접수
TXN-2025213-2020,2025-08-01,EMP1014,최나연,경기,경기2팀,클라우드 서버,1814378,검토완료
TXN-2025004-6763,2025-01-04,EMP1020,이서연,부산,부산1팀,클라우드 서버,1952650,접수
TXN-2025113-5471,2025-04-23,EMP1028,윤미래,부산,부산2팀,클라우드서버,1602729,구매확정
TXN-2025319-9751,2025-11-15,EMP1002,윤서연,서울,서울1팀,클라우드 서버,"""1,590,411""",검토완료
TXN-2025195-6363,2025-07-14,EMP1014,최나연,경기,경기2팀,클라우드 서버,1796414,구매확정
TXN-2025241-1317,2025-08-29,EMP1035,조지민,광주,광주1팀,5G 요금제,77935,구매확정
TXN-2025127-4266,2025-05-07,EMP1002,윤서연,서울,서울1팀,iot 패키지,41035,개통완료
TXN-2025086-2876,2025-03-27,EMP1011,장영철,경기,경기1팀,IPTV프리미엄,25222,반려
TXN-2025304-4978,2025-10-31,EMP1007,조유진,서울,서울3팀,AI 비서 구독,19737,취소
TXN-2025339-7071,2025-12-05,EMP1005,김성호,서울,서울2팀,IoT 패키지,10829,취소
TXN-2026060-8532,2026-03-01,EMP1010,신태영,경기,경기1팀,클라우드 Server,1564108,취소
TXN-2026010-5397,2026-01-10,EMP1021,임성호,부산,부산1팀,인터넷 결합,35839,개통완료
TXN-2025173-1470,2025-06-22,EMP1032,이태영,대전,대전1팀,iptv 프리미엄,26626,구매확정
TXN-2025006-9464,2025-01-06,EMP1013,최성호,경기,경기1팀,5G 요금제,81635,접수
TXN-2026041-1282,2026-02-10,EMP1006,조서연,서울,서울2팀,IPTV 프리미엄,22972,개통완료
TXN-2026017-6419,2026-01-17,EMP1023,장상현,부산,부산2팀,AI 비서 구독,14923,구매확정
TXN-2026026-4033,2026-01-26,EMP1013,최성호,경기,경기1팀,인터넷 결합,42060,환불
TXN-2025100-5853,2025-04-10,EMP1015,오준혁,경기,경기2팀,IPTV프리미엄,32502,구매확정
TXN-2025327-9042,2025-11-23,EMP1007,조유진,서울,서울3팀,5G 요금제,85762,구매확정
TXN-2025059-2070,2025-02-28,EMP1026,조준혁,부산,부산2팀,클라우드 Server,1639592,구매확정
TXN-2025061-7818,2025-03-02,EMP1039,장유진,광주,광주1팀,IoT 패키지,24790,구매확정
TXN-2025220-6003,2025-08-08,EMP1037,정준혁,광주,광주1팀,IoT패키지,23617,구매확정
TXN-2025081-1043,2025-03-22,EMP1027,박미래,부산,부산2팀,클라우드 서버,1185477,구매확정
TXN-2025352-4824,2025-12-18,EMP1017,최동현,경기,경기2팀,AI 비서 구독,13141,개통완료
TXN-2025037-1977,2025-02-06,EMP1011,장영철,경기,경기1팀,IPTV 프리미엄,24457,개통완료
TXN-2025277-9090,2025-10-04,EMP1029,서준혁,대전,대전1팀,5G 요금제,83313,검토완료
TXN-2026076-1339,2026-03-17,EMP1018,박하은,경기,경기2팀,iot 패키지,40834,구매확정
TXN-2026052-9056,2026-02-21,EMP1006,조서연,서울,서울2팀,클라우드 서버,898998,구매확정
TXN-2025340-7561,2025-12-06,EMP1036,서상현,광주,광주1팀,5G 요금제,75612,구매확정
TXN-2025001-9889,2025-01-01,EMP1030,윤태영,대전,대전1팀,클라우드 Server,958706,개통완료
TXN-2025068-5719,2025-03-09,EMP1029,서준혁,대전,대전1팀,AI 비서 구독,10372,검토완료
TXN-2025283-7684,2025-10-10,EMP1006,조서연,서울,서울2팀,인터넷 결합,36717,구매확정
TXN-2025261-5479,2025-09-18,EMP1027,박미래,부산,부산2팀,클라우드 서버,711140,구매확정
TXN-2025070-2143,2025-03-11,EMP1018,박하은,경기,경기2팀,클라우드 서버,1851963,취소
TXN-2025338-9022,2025-12-04,EMP1010,신태영,경기,경기1팀,클라우드 서버,923777,접수
TXN-2025358-4912,2025-12-24,EMP1037,정준혁,광주,광주1팀,클라우드 서버,1826434,구매확정
TXN-2025340-3492,2025-12-06,EMP1032,이태영,대전,대전1팀,5g 요금제,61577,구매확정
TXN-2025210-3529,2025-07-29,EMP1005,김성호,서울,서울2팀,클라우드 서버,755793,검토완료
TXN-2025298-7891,2026-03-16,EMP1025,오나연,부산,부산2팀,IPTV 프리미엄,30989,구매확정
TXN-2025117-2480,2025-04-27,EMP1028,윤미래,부산,부산2팀,5G 요금제,61586,검토완료
TXN-2025151-6873,2025-05-31,EMP1024,오미래,부산,부산2팀,클라우드 Server,1064135,취소
TXN-2025318-4945,2025-11-14,EMP1032,이태영,대전,대전1팀,사물인터넷 패키지,26644,검토완료
TXN-2025280-3588,2025-10-07,EMP1005,김성호,서울,서울2팀,클라우드 서버,1432227,환불
TXN-2025197-8916,2025-07-16,EMP1007,조유진,서울,서울3팀,인터넷 결합,44762,환불
TXN-2025141-1132,2025-05-21,EMP1037,정준혁,광주,광주1팀,AI 비서 구독,10703,접수
TXN-2025118-6772,2025-04-28,EMP1015,오준혁,경기,경기2팀,AI Assistant,12140,반려
TXN-2025297-6977,2025-10-24,EMP1009,장민수,서울,서울3팀,5G 요금제,76411,구매확정
TXN-2025272-9221,2025-09-29,EMP1018,박하은,경기,경기2팀,인터넷 결합,48789,구매확정
TXN-2025039-3306,2025-02-08,EMP1015,오준혁,경기,경기2팀,AI 비서 구독,16411,취소
TXN-2025275-3024,2025-10-02,EMP1030,윤태영,대전,대전1팀,IPTV 프리미엄,23590,취소
TXN-2025013-6374,2025-01-13,EMP1015,오준혁,경기,경기2팀,에이아이 비서,14851,구매확정
TXN-2025060-2592,2025-03-01,EMP1016,이상현,경기,경기2팀,사물인터넷 패키지,34314,접수
TXN-2025080-7797,2025-03-21,EMP1007,조유진,서울,서울3팀,클라우드 서버,"""786,657""",구매확정
TXN-2025051-7018,2025-02-20,EMP1035,조지민,광주,광주1팀,AI 비서 구독,16423,환불
TXN-2025109-1349,2025-04-19,EMP1004,신지은,서울,서울2팀,IPTV 프리미엄,19126,구매확정
TXN-2026052-4817,2026-02-21,EMP1022,윤수진,부산,부산1팀,인터넷 결합,"""52,529""",취소
TXN-2025090-2801,2025-03-31,EMP1002,윤서연,서울,서울1팀,인터넷결합,52295,구매확정
TXN-2026017-2041,2026-01-17,EMP1031,이서연,대전,대전1팀,클라우드 서버,1276338,개통완료
TXN-2026079-9543,2026-03-20,EMP1020,이서연,부산,부산1팀,클라우드 서버,265327,개통완료
TXN-2025228-2204,2025-08-16,EMP1006,조서연,서울,서울2팀,IPTV 프리미엄,17152,검토완료
TXN-2025306-9692,2025-11-02,EMP1019,오현우,경기,경기2팀,클라우드 서버,1102193,접수
TXN-2026005-4522,2026-01-05,EMP1028,윤미래,부산,부산2팀,클라우드 서버,1067829,개통완료
TXN-2025341-5176,2025-12-07,EMP1024,오미래,부산,부산2팀,인터넷 결합,48540,취소
TXN-2026051-3131,2026-02-20,EMP1036,서상현,광주,광주1팀,5G 요금제,76603,구매확정
TXN-2026005-1842,2026-01-05,EMP1019,오현우,경기,경기2팀,IoT 패키지,16789,구매확정
TXN-2026068-7022,2026-03-09,EMP1008,윤상현,서울,서울3팀,IPTV 프리미엄,29061,환불
TXN-2025014-5381,2025-01-14,EMP1002,윤서연,서울,서울1팀,인터넷 결합,43124,구매확정
TXN-2025036-3324,2025-02-05,EMP1002,윤서연,서울,서울1팀,5G 요금제,69098,개통완료
TXN-2025291-2391,2025-10-18,EMP1004,신지은,서울,서울2팀,인터넷 결합상품,34630,구매확정
TXN-2025140-4531,2025-05-20,EMP1033,서준혁,대전,대전1팀,5G 요금제,62267,검토완료
TXN-2025204-9397,2025-07-22,EMP1001,김준혁,서울,서울1팀,인터넷 결합,39921,접수
TXN-2025221-3878,2025-08-09,EMP1009,장민수,서울,서울3팀,클라우드 서버,682577,취소
TXN-2025022-8147,2025-01-22,EMP1002,윤서연,서울,서울1팀,클라우드 서버,856535,개통완료
TXN-2025011-6321,2025-01-11,EMP1011,장영철,경기,경기1팀,IoT 패키지,33714,취소
TXN-2025203-6083,2025-07-22,EMP1022,윤수진,부산,부산1팀,인터넷 결합,38509,검토완료
TXN-2025180-3419,2025-06-29,EMP1016,이상현,경기,경기2팀,5G 요금 제,66370,접수
TXN-2025253-8601,2025-09-10,EMP1037,정준혁,광주,광주1팀,IoT 패키지,46994,환불
TXN-2025226-2118,2025-08-14,EMP1031,이서연,대전,대전1팀,클라우드 서버,1870024,구매확정
TXN-2025030-7041,2025-01-30,EMP1019,오현우,경기,경기2팀,5G 요금제,60917,개통완료
TXN-2025022-8368,2025-01-22,EMP1037,정준혁,광주,광주1팀,에이아이 비서,18114,구매확정
TXN-2026001-2381,2026-01-01,EMP1033,서준혁,대전,대전1팀,ai 비서 구독,17072,개통완료
TXN-2025199-7697,2025-07-18,EMP1022,윤수진,부산,부산1팀,AI 비서 구독,15382,구매확정
TXN-2025337-3463,2025-12-03,EMP1022,윤수진,부산,부산1팀,5G 요금제,64268,구매확정
TXN-2025363-2388,2025-12-29,EMP1020,이서연,부산,부산1팀,IoT 패키지,31527,검토완료
TXN-2025270-2531,2025-09-27,EMP1028,윤미래,부산,부산2팀,IoT 패키지,33763,환불
TXN-2025071-3538,2025-03-12,EMP1005,김성호,서울,서울2팀,IPTV 프리미엄,18314,개통완료
TXN-2026028-3147,2026-01-28,EMP1039,장유진,광주,광주1팀,Cloud 서버,1943456,검토완료
TXN-2025187-4891,2025-07-06,EMP1029,서준혁,대전,대전1팀,IoT 패키지,39420,구매확정
TXN-2025100-7026,2025-04-10,EMP1037,정준혁,광주,광주1팀,클라우드 서버,790918,개통완료
TXN-2025310-3267,2025-11-06,EMP1017,최동현,경기,경기2팀,5G 요금제,79327,구매확정
TXN-2026026-3626,2026-01-26,EMP1018,박하은,경기,경기2팀,클라우드 서버,509012,구매확정
TXN-2025014-7797,2025-01-14,EMP1004,신지은,서울,서울2팀,클라우드 서버,694462,구매확정
TXN-2026001-6493,2026-01-01,EMP1010,신태영,경기,경기1팀,Internet 결합,37547,개통완료
TXN-2025111-3449,2025-04-21,EMP1036,서상현,광주,광주1팀,AI 비서 구독,16834,구매확정
TXN-2026042-8489,2026-02-11,EMP1005,김성호,서울,서울2팀,5G 요금제,87756,구매확정
TXN-2025220-1025,2025-08-08,EMP1023,장상현,부산,부산2팀,인터넷 결합,39137,구매확정
TXN-2025260-9316,2025-09-17,EMP1036,서상현,광주,광주1팀,5G 요금제,"""85,810""",구매확정
TXN-2025035-6649,2025-02-04,EMP1016,이상현,경기,경기2팀,AI 비서 구독,11598,접수
TXN-2026052-3868,2026-02-21,EMP1030,윤태영,대전,대전1팀,AI 비서 구독,12886,구매확정
TXN-2025023-4268,2025-01-23,EMP1003,정수진,서울,서울1팀,IPTV 프리미엄,31888,취소
TXN-2025147-6848,2025-05-27,EMP1004,신지은,서울,서울2팀,AI 비서 구독,11939,구매확정
TXN-2025174-4060,2025-06-23,EMP1032,이태영,대전,대전1팀,AI 비서 구독,18407,구매확정
TXN-2025093-9937,2025-04-03,EMP1019,오현우,경기,경기2팀,IPTV Premium,24687,검토완료
TXN-2025022-6776,2025-01-22,EMP1028,윤미래,부산,부산2팀,IPTV 프리미엄,16879,검토완료
TXN-2025016-3339,2025-01-16,EMP1039,장유진,광주,광주1팀,AI 비서 구독,10470,구매확정
TXN-2025017-3513,2025-01-17,EMP1029,서준혁,대전,대전1팀,IPTV 프리미엄,17519,개통완료
TXN-2025059-1424,2025-02-28,EMP1012,조태영,경기,경기1팀,클라우드 서버,1377913,접수
TXN-2025356-9047,2025-12-22,EMP1013,최성호,경기,경기1팀,5G요금제,84625,접수
TXN-2025164-6692,2025-06-13,EMP1005,김성호,서울,서울2팀,IoT 패키지,29657,접수
TXN-2025261-4673,2025-09-18,EMP1008,윤상현,서울,서울3팀,인터넷 결합,40757,구매확정
TXN-2025283-3126,2025-10-10,EMP1006,조서연,서울,서울2팀,5G 요금제,86369,접수
TXN-2025329-2215,2025-11-25,EMP1029,서준혁,대전,대전1팀,클라우드 서버,922499,취소
TXN-2025067-8088,2025-03-08,EMP1033,서준혁,대전,대전1팀,5G 요금제,88954,구매확정
TXN-2025266-5653,2025-09-23,EMP1006,조서연,서울,서울2팀,IPTV Premium,19101,검토완료
TXN-2025298-3526,2025-10-25,EMP1011,장영철,경기,경기1팀,AI 비서 구독,19814,환불
TXN-2025329-5336,2025-11-25,EMP1014,최나연,경기,경기2팀,IoT 패키지,11984,검토완료
TXN-2026048-7653,2026-02-17,EMP1020,이서연,부산,부산1팀,Cloud 서버,531518,개통완료
TXN-2026003-6231,2026-01-03,EMP1023,장상현,부산,부산2팀,클라우드서버,1279991,구매확정
TXN-2025050-1829,2025-02-19,EMP1019,오현우,경기,경기2팀,클라우드 서버,1076892,반려
TXN-2025161-4110,2025-06-10,EMP1011,장영철,경기,경기1팀,클라우드 서버,1178982,구매확정
TXN-2025124-4524,2025-05-04,EMP1038,정서연,광주,광주1팀,IPTV Premium,,취소
TXN-2025056-8060,2025-02-25,EMP1009,장민수,서울,서울3팀,IPTV 프리미엄,28213,구매확정
TXN-2025038-7329,2025-02-07,EMP1033,서준혁,대전,대전1팀,클라우드 서버,786616,검토완료
TXN-2025192-6555,2025-07-11,EMP1036,서상현,광주,광주1팀,IPTV 프리미엄,21522,구매확정
TXN-2026047-8761,2026-02-16,EMP1034,박현우,대전,대전1팀,클라우드 Server,493141,검토완료
TXN-2025154-6511,2025-06-03,EMP1033,서준혁,대전,대전1팀,IoT 패키지,46891,취소
TXN-2025299-6040,2025-10-26,EMP1002,윤서연,서울,서울1팀,IoT 패키지,47910,접수
TXN-2025318-7229,2025-11-14,EMP1010,신태영,경기,경기1팀,AI 비서 구독,19280,구매확정
TXN-2025354-4340,2025-12-20,EMP1027,박미래,부산,부산2팀,IoT 패키지,40907,접수
TXN-2025167-8837,2025-06-16,EMP1034,박현우,대전,대전1팀,클라우드 서버,563189,개통완료
TXN-2025349-5331,2025-12-15,EMP1031,이서연,대전,대전1팀,인터넷 결합,42142,구매확정
TXN-2025107-9011,2025-04-17,EMP1021,임성호,부산,부산1팀,클라우드 서버,1868085,구매확정
TXN-2025203-6654,2025-07-22,EMP1010,신태영,경기,경기1팀,IPTV프리미엄,26349,검토완료
TXN-2025139-5450,2025-05-19,EMP1009,장민수,서울,서울3팀,5G 요금제,70681,검토완료
TXN-2025212-6411,2025-07-31,EMP1031,이서연,대전,대전1팀,5G 요금제,"""64,009""",개통완료
TXN-2025244-8822,2025-09-01,EMP1013,최성호,경기,경기1팀,IPTV 프리미엄,16938,구매확정
TXN-2025020-3868,2025-01-20,EMP1027,박미래,부산,부산2팀,인터넷 결합,34190,구매확정
TXN-2025149-1613,2025-05-29,EMP1001,김준혁,서울,서울1팀,IPTV 프리미엄,18516,구매확정
TXN-2025069-9261,2025-03-10,EMP1030,윤태영,대전,대전1팀,IPTV프리미엄,25835,개통완료
TXN-2026040-5833,2026-02-09,EMP1037,정준혁,광주,광주1팀,AI 비서 구독,12775,검토완료
TXN-2025206-2562,2025-07-25,EMP1012,조태영,경기,경기1팀,인터넷 결합,"""41,128""",구매확정
TXN-2025299-1187,2025-10-26,EMP1017,최동현,경기,경기2팀,AI 비서 구독,13771,구매확정
TXN-2025361-6095,2025-12-27,EMP1008,윤상현,서울,서울3팀,AI 비서 구독,14733,구매확정
TXN-2025311-7121,2025-11-07,EMP1027,박미래,부산,부산2팀,AI 비서 구독,17614,취소
TXN-2025306-2341,2025-11-02,EMP1034,박현우,대전,대전1팀,클라우드 서버,958717,개통완료
TXN-2025294-9792,2025-10-21,EMP1010,신태영,경기,경기1팀,인터넷 결합,50050,검토완료
TXN-2025229-1911,2025-08-17,EMP1030,윤태영,대전,대전1팀,인터넷 결합,47968,개통완료
TXN-2025131-1049,2025-05-11,EMP1014,최나연,경기,경기2팀,사물인터넷 패키지,32579,개통완료
TXN-2025242-1519,2025-08-30,EMP1019,오현우,경기,경기2팀,Cloud 서버,1806057,접수
TXN-2025230-7184,2025-08-18,EMP1025,오나연,부산,부산2팀,5G 요금제,63715,구매확정
TXN-2026008-4648,2026-01-08,EMP1001,김준혁,서울,서울1팀,5G 요금제,85343,개통완료
TXN-2025178-3541,2025-06-27,EMP1018,박하은,경기,경기2팀,인터넷 결합,"""36,697""",검토완료
TXN-2025124-4376,2025-05-04,EMP1005,김성호,서울,서울2팀,5G 요금제,84257,접수
TXN-2025120-9843,2025-04-30,EMP1014,최나연,경기,경기2팀,5g 요금제,70346,접수
TXN-2025165-4881,2025-06-14,EMP1020,이서연,부산,부산1팀,인터넷 결합,50080,구매확정
TXN-2025090-7999,2025-03-31,EMP1036,서상현,광주,광주1팀,클라우드서버,1549131,취소
TXN-2025193-4012,2025-07-12,EMP1035,조지민,광주,광주1팀,클라우드 서버,672581,접수
TXN-2025214-9683,2025-08-02,EMP1009,장민수,서울,서울3팀,클라우드 서버,626428,구매확정
TXN-2026060-4120,2026-03-01,EMP1004,신지은,서울,서울2팀,IPTV 프리미엄,16295,구매확정
TXN-2025246-4422,2025-09-03,EMP1022,윤수진,부산,부산1팀,IPTV 프리미엄,15502,구매확정
TXN-2025125-4350,2025-05-05,EMP1026,조준혁,부산,부산2팀,인터넷 결합,42275,개통완료
TXN-2025255-8635,2025-09-12,EMP1007,조유진,서울,서울3팀,AI 비서 구독,15146,구매확정
TXN-2025075-1265,2025-03-16,EMP1017,최동현,경기,경기2팀,IoT 패키지,47954,구매확정
TXN-2025126-9180,2025-05-06,EMP1036,서상현,광주,광주1팀,AI 비서 구독,15430,취소
TXN-2025087-6770,2025-03-28,EMP1011,장영철,경기,경기1팀,인터넷 결합,49001,반려
TXN-2026065-2217,2026-03-06,EMP1004,신지은,서울,서울2팀,5G 요금제,70167,구매확정
TXN-2025327-8916,2025-11-23,EMP1032,이태영,대전,대전1팀,5G Plan,"""55,776""",접수
TXN-2025358-8054,2025-12-24,EMP1012,조태영,경기,경기1팀,5G 요금제,64758,검토완료
TXN-2025041-7112,2025-02-10,EMP1026,조준혁,부산,부산2팀,클라우드 서버,1662210,검토완료
TXN-2026024-1519,2026-01-24,EMP1006,조서연,서울,서울2팀,클라우드 서버,1359098,검토완료
TXN-2025331-6427,2025-11-27,EMP1037,정준혁,광주,광주1팀,5G 요금제,57788,반려
TXN-2025039-5593,2025-02-08,EMP1035,조지민,광주,광주1팀,IoT 패키지,21754,구매확정
TXN-2025365-7525,2025-12-31,EMP1005,김성호,서울,서울2팀,iptv 프리미엄,27751,개통완료
TXN-2025353-2284,2025-12-19,EMP1033,서준혁,대전,대전1팀,AI 비서 구독,10779,구매확정
TXN-2025218-3820,2025-11-01,EMP1021,임성호,부산,부산1팀,5G 요금제,84527,구매확정
TXN-2025339-7227,2025-12-05,EMP1006,조서연,서울,서울2팀,IoT 패키지,26151,구매확정
TXN-2026014-7383,2026-01-14,EMP1021,임성호,부산,부산1팀,IPTV프리미엄,25101,접수
TXN-2025286-9395,2025-10-13,EMP1027,박미래,부산,부산2팀,5g 요금제,61099,취소
TXN-2026034-2387,2026-02-03,EMP1036,서상현,광주,광주1팀,인터넷 결합,38556,구매확정
TXN-2025086-8121,2025-03-27,EMP1018,박하은,경기,경기2팀,클라우드 서버,1841370,구매확정
TXN-2025101-8501,2025-04-11,EMP1007,조유진,서울,서울3팀,인터넷 결합,45966,검토완료
TXN-2026053-3230,2026-02-22,EMP1020,이서연,부산,부산1팀,클라우드 서버,"""1,394,728""",구매확정
TXN-2025325-9044,2025-11-21,EMP1037,정준혁,광주,광주1팀,인터넷 결합,42184,구매확정
TXN-2025280-3947,2025-10-07,EMP1036,서상현,광주,광주1팀,5G 요금제,85252,구매확정
TXN-2026070-7703,2026-03-11,EMP1032,이태영,대전,대전1팀,인터넷 결합,40930,구매확정
TXN-2025307-8851,2025-11-03,EMP1038,정서연,광주,광주1팀,클라우드 서버,1650618,구매확정
TXN-2025305-2392,2025-11-01,EMP1007,조유진,서울,서울3팀,인터넷 결합,44632,검토완료
TXN-2026021-6432,2026-01-21,EMP1028,윤미래,부산,부산2팀,5g 요금제,69549,개통완료
TXN-2025201-8586,2025-07-20,EMP1038,정서연,광주,광주1팀,AI 비서 구독,15551,개통완료
TXN-2026061-3321,2026-03-02,EMP1023,장상현,부산,부산2팀,IPTV 프리미엄,21778,구매확정
TXN-2025035-5919,2025-02-04,EMP1003,정수진,서울,서울1팀,AI Assistant,11691,구매확정
TXN-2025082-6422,2025-03-23,EMP1036,서상현,광주,광주1팀,클라우드 서버,686236,검토완료
TXN-2026013-4232,2026-01-13,EMP1029,서준혁,대전,대전1팀,IoT 패키지,10291,구매확정
TXN-2025053-9796,2025-02-22,EMP1012,조태영,경기,경기1팀,IPTV 프리미엄,29993,검토완료
TXN-2025199-7431,2025-07-18,EMP1038,정서연,광주,광주1팀,5G 요금제,85006,취소
TXN-2025044-3194,2025-02-13,EMP1021,임성호,부산,부산1팀,5G 요금제,62664,검토완료
TXN-2025197-7931,2025-07-16,EMP1012,조태영,경기,경기1팀,클라우드 서버,1654234,환불
TXN-2025096-6154,2025-04-06,EMP1029,서준혁,대전,대전1팀,IOT 패키지,10628,구매확정
TXN-2025210-9056,2025-07-29,EMP1027,박미래,부산,부산2팀,AI 비서 구독,17906,개통완료
TXN-2025116-9808,2025-04-26,EMP1019,오현우,경기,경기2팀,인터넷 결합,51535,접수
TXN-2026032-9898,2026-02-01,EMP1024,오미래,부산,부산2팀,클라우드 서버,"""1,505,779""",구매확정
TXN-2025335-5055,2025-12-01,EMP1020,이서연,부산,부산1팀,5G 요금제,77844,구매확정
TXN-2025108-6744,2025-04-18,EMP1028,윤미래,부산,부산2팀,인터넷 결합,39770,취소
TXN-2025087-6302,2025-03-28,EMP1019,오현우,경기,경기2팀,IPTV 프리미엄,31856,검토완료
TXN-2025031-5543,2025-01-31,EMP1009,장민수,서울,서울3팀,AI 비서 구독,13990,구매확정
TXN-2025073-5402,2025-03-14,EMP1027,박미래,부산,부산2팀,클라우드 서버,1528813,접수
TXN-2025189-8449,2025-07-08,EMP1032,이태영,대전,대전1팀,IPTV 프리미엄,18052,개통완료
TXN-2025274-7516,2025-10-01,EMP1014,최나연,경기,경기2팀,클라우드 서버,1237492,취소
TXN-2025249-6631,2025-09-06,,,서울,서울2팀,5G Plan,56067,취소
TXN-2025220-4314,2025-08-08,EMP1009,장민수,서울,서울3팀,AI 비서 구독,14389,구매확정
TXN-2025027-7493,2025-01-27,EMP1020,이서연,부산,부산1팀,AI 비서 구독,13736,구매확정
TXN-2025304-4705,2025-10-31,EMP1034,박현우,대전,대전1팀,AI 비서 구독,10032,취소
TXN-2025037-4751,2025-02-06,EMP1025,오나연,부산,부산2팀,5G 요금제,61712,구매확정
